日期,欧元,港币,美元
2016-12-08,739.53,88.612,687.31
2016-12-07,737.38,88.722,688.08
2016-12-06,738.8,88.425,685.75
2016-12-05,727.09,88.799,688.7
2016-12-02,733.78,88.701,687.94
2016-12-01,731.11,88.91,689.58
2016-11-30,733.86,88.794,688.65
2016-11-29,731.69,88.822,688.89
2016-11-28,732.92,89.015,690.42
2016-11-25,730.17,89.179,691.68
2016-11-24,728.17,89.07,690.85
2016-11-23,732.11,88.843,689.04
2016-11-22,731.98,88.68,687.79
2016-11-21,730.8,88.932,689.85
2016-11-18,731.02,88.688,687.96
2016-11-17,735.51,88.55,686.92
2016-11-16,735.92,88.426,685.92
2016-11-15,736.76,88.297,684.95
2016-11-14,738.08,88.02,682.91
2016-11-11,740.71,87.821,681.15
2016-11-10,741.65,87.535,678.85
2016-11-09,747.42,87.47,678.32
2016-11-08,748.93,87.443,678.17
2016-11-07,750.99,87.318,677.25
2016-11-04,749.44,87.056,675.14
2016-11-03,749.09,87.028,674.91
2016-11-02,747.13,87.113,675.62
2016-11-01,742.8,87.343,677.34
2016-10-31,742.94,87.225,676.41
2016-10-28,739.58,87.506,678.58
